status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_8265,drops_10226,adds_9486,drops_8676,adds_8110,drops_1339,settings_priority,adds_7591,drops_2028,adds_6783,drops_8117,adds_7669,drops_7816,drops,adds_7651,drops_7672,adds_4098,drops_11576,drops_7523,metadata,settings,adds_8330,drops_7136,adds,drops_5248,drops_7591,adds_7635,adds_5816,drops_3303,adds_5947,drops_8142,adds_1166,adds_10231,drops_6783,adds_10232,adds_6938,drops_11625,adds_6826,drops_6120,adds_6807,adds_6302,drops_4449,drops_2617,adds_10235,drops_3214,adds_5912,adds_8117,drops_8121,adds_6218,drops_10883,adds_10883,drops_1052,adds_10970,drops_11667,drops_8139
complete,free_agent,1727628416912,4,[],740751073198948352,1146160289356996608,[12],[12],1727628416912,[],,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1727628362767,4,[],740751073198948352,1146160062256406528,[12],[12],1727628362767,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1727628339532,4,[],740751073198948352,1146159964801753088,[12],[12],1727628339532,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1727618694559,4,[],595464158774878208,1146119510852771840,[7],[7],1727618694559,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1727585529061,4,[],1130644355074629632,1145980404671848448,[5],[5],1727585529061,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1727585409006,4,[],1130644355074629632,1145979901124681728,[5],[5],1727585409006,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1727559981467,4,[],1045522732957417472,1145873250296139776,[1],[1],1727559981467,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1727505028249,4,[],578293895956312064,1145642759794073600,[2],[2],1727505028249,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1727463500425,4,[],741144911407095808,1145468579475759104,[6],[6],1727463500425,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
complete,waiver,1727381577451,4,[],578293895956312064,1145124969618616320,[2],[2],1727417080803,[],Your waiver claim was processed successfully!,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1727354285882,4,[],595464158774878208,1145010500481196032,[7],[7],1727354285882,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
complete,free_agent,1727354272328,4,[],595464158774878208,1145010443631599616,[7],[7],1727354272328,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,
complete,free_agent,1727354144180,4,[],595464158774878208,1145009906139930624,[7],[7],1727354144180,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,
complete,free_agent,1727354120095,4,[],595464158774878208,1145009805120114688,[7],[7],1727354120095,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,
complete,free_agent,1727354053118,4,[],595464158774878208,1145009524198219776,[7],[7],1727354053118,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,
complete,free_agent,1727354037562,4,[],595464158774878208,1145009458951626752,[7],[7],1727354037562,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,
complete,free_agent,1727352392241,4,[],594730254984077312,1145002557975179264,[4],[4],1727352392241,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,
complete,free_agent,1727306334922,4,[],741144911407095808,1144809379577864192,[6],[6],1727306334922,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,
complete,free_agent,1727267926189,4,[],862499213718704128,1144648281675378688,[11],[11],1727267926189,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,
complete,free_agent,1727267897928,4,[],862499213718704128,1144648163140153344,[11],[11],1727267897928,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,
complete,free_agent,1727267217389,4,[],862499213718704128,1144645308752699392,[11],[11],1727267217389,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,
complete,free_agent,1727264640618,4,[],861798755085692928,1144634500991791104,[9],[9],1727264640618,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,
complete,free_agent,1727264046078,4,[],741144911407095808,1144632007310290944,[6],[6],1727264046078,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
