status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_6183,drops_10899,adds_6783,drops_11637,drops,adds_11086,adds_4033,drops_8330,adds_4981,drops_9486,adds_11575,drops_8142,adds_8132,metadata,settings,adds,drops_4017,drops_10229,adds_9501,adds_7571,adds_11563,drops_6938,adds_5096,drops_4033,adds_2309,adds_6888,adds_1192,adds_6826,drops_5001,adds_1875,drops_6949,adds_4971,drops_6901,adds_11655,adds_6149,drops_4981,drops_6826,adds_10905,drops_4971,drops_9754,adds_8142,drops_2309,drops_5334,drops_7562,adds_6788,drops_8323,drops_7593,drops_4147
complete,waiver,1728882728856,6,[],578293895956312064,1151421254961332224,[2],[2],1729062266805,[],Your waiver claim was processed successfully!,7.0,0.0,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1728838572667,6,[],1130644355074629632,1151236050480795648,[5],[5],1728838572667,[],,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1728837519692,6,[],740751073198948352,1151231633983541248,[12],[12],1728837519692,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1728837467030,6,[],740751073198948352,1151231413103104000,[12],[12],1728837467030,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1728837349331,6,[],740751073198948352,1151230919437717504,[12],[12],1728837349331,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1728819592977,6,[],830975786608619520,1151156443891109888,[8],[8],1728819592977,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1728819527196,6,[],830975786608619520,1151156167985598464,[8],[8],1728819527196,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,
complete,free_agent,1728819502792,6,[],830975786608619520,1151156065627803648,[8],[8],1728819502792,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,
complete,free_agent,1728767719269,6,[],594730254984077312,1150938869790003200,[4],[4],1728767719269,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,
complete,free_agent,1728767649854,6,[],594730254984077312,1150938578642391040,[4],[4],1728767649854,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,
complete,free_agent,1728607318315,6,[],595464158774878208,1150266099427184640,[7],[7],1728607318315,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,
complete,free_agent,1728606950155,6,[],595464158774878208,1150264555252224000,[7],[7],1728606950155,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,
complete,waiver,1728523318376,6,[],578293895956312064,1149913778147086336,[2],[2],1728626680330,[],Your waiver claim was processed successfully!,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,
complete,free_agent,1728523278121,6,[],578293895956312064,1149913609305165824,[2],[2],1728523278121,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,
complete,free_agent,1728511678652,6,[],741144911407095808,1149864957605941248,[6],[6],1728511678652,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,
complete,free_agent,1728472821756,6,[],741144911407095808,1149701979971620864,[6],[6],1728472821756,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,
complete,free_agent,1728472790000,6,[],741144911407095808,1149701846777303040,[6],[6],1728472790000,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,
complete,free_agent,1728458063584,6,[],594730254984077312,1149640079711768576,[4],[4],1728458063584,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,
complete,free_agent,1728458023606,6,[],594730254984077312,1149639912031883264,[4],[4],1728458023606,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
complete,free_agent,1728457998553,6,[],594730254984077312,1149639806951985152,[4],[4],1728457998553,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
