draft_id,draft_slot,is_keeper,pick_no,picked_by,player_id,reactions,roster_id,round,metadata.amount,metadata.first_name,metadata.injury_status,metadata.last_name,metadata.news_updated,metadata.number,metadata.player_id,metadata.position,metadata.slot,metadata.sport,metadata.status,metadata.team,metadata.team_abbr,metadata.team_changed_at,metadata.years_exp
1111766493164949505,1,,53,578293895956312064,5849,,2,5,10,Kyler,,Murray,1724162122722,1,5849,QB,1,nfl,Active,ARI,,,5
1111766493164949505,5,,54,862559746694205440,6790,,3,5,18,D'Andre,,Swift,1724385057865,4,6790,RB,5,nfl,Active,CHI,,,4
1111766493164949505,6,,55,1045522732957417472,7640,,1,5,5,Micah,,Parsons,1722707745246,11,7640,LB,6,nfl,Active,DAL,,,3
1111766493164949505,12,,56,741144911407095808,2133,,6,5,25,Davante,Questionable,Adams,1724860563197,17,2133,WR,12,nfl,Active,LV,,,10
1111766493164949505,7,,57,740751073198948352,3198,,12,5,32,Derrick,,Henry,1725224132340,22,3198,RB,7,nfl,Active,BAL,,,8
1111766493164949505,8,,58,595464158774878208,7525,,7,5,19,DeVonta,,Smith,1724364055513,6,7525,WR,8,nfl,Active,PHI,,,3
1111766493164949505,11,,59,830975786608619520,8138,,8,5,26,James,,Cook,1724860563144,4,8138,RB,11,nfl,Active,BUF,,,2
1111766493164949505,12,,60,741144911407095808,2309,,6,5,16,Amari,,Cooper,1724546425277,2,2309,WR,12,nfl,Active,CLE,,,9
1111766493164949505,3,,61,861798755085692928,11620,,9,6,9,Rome,,Odunze,1724604933876,15,11620,WR,3,nfl,Active,CHI,,,0
1111766493164949505,3,,62,861798755085692928,10236,,9,6,13,Dalton,,Kincaid,1724862363432,86,10236,TE,3,nfl,Active,BUF,,,1
1111766493164949505,6,,63,1045522732957417472,5991,,1,6,6,Maxx,,Crosby,1720212911852,98,5991,DL,6,nfl,Active,LV,,,5
1111766493164949505,6,,64,1045522732957417472,11604,,1,6,15,Brock,Questionable,Bowers,1724955614378,89,11604,TE,6,nfl,Active,LV,,,0
1111766493164949505,8,,65,595464158774878208,6768,,7,6,2,Tua,,Tagovailoa,1724454611913,1,6768,QB,8,nfl,Active,MIA,,,4
1111766493164949505,6,,66,1045522732957417472,8339,,1,6,3,Kyle,Questionable,Hamilton,1724364355022,14,8339,DB,6,nfl,Active,BAL,,,2
1111766493164949505,11,,67,830975786608619520,4039,,8,6,24,Cooper,,Kupp,1724541924592,10,4039,WR,11,nfl,Active,LAR,,,7
1111766493164949505,1,,68,578293895956312064,10229,,2,6,10,Rashee,,Rice,1724910909865,4,10229,WR,1,nfl,Active,KC,,,1
