league_id,user_id,roster_id,player_id,fantasy_positions,full_name,status,active,age,display_name,metadata_team_name,Owner,Length_Remaining,Acquired,Year_of_Contract,Pos,Per_Year_M,2025,2026,2027,2028,player_type
1.2074519527078134e+18,5.483171429683364e+17,7.0,8144,WR,Chris Olave,Active,True,25.0,MikeNorys,Can't Stand Mike,Mike N,1.0,2022-R1,2022.0,WR,$6.75,$18.00,  ,  ,  ,  
1.2074519527078134e+18,5.483171429683364e+17,7.0,4950,WR,Christian Kirk,Active,True,28.0,MikeNorys,Can't Stand Mike,Mike N,1.0,UFA,2025.0,WR,$10.25,$10.25,  ,  ,  ,  
1.2074519527078134e+18,7.411449114070958e+17,12.0,4034,RB,Christian McCaffrey,Active,True,29.0,beebudda,Ezekiel's nasty house,Zeke,1.0,RFA/Rstr2024,2024.0,RB,$72.00,$36.00,  ,  ,  ,  
1.2074519527078134e+18,1.0687067732232233e+18,8.0,8167,WR,Christian Watson,Active,True,26.0,Tski25,The Warden,Tommy,1.0,2022-R1,2022.0,WR,$5.25,$0.00,  ,  ,  ,IR
1.2074519527078134e+18,5.6171540802973696e+17,2.0,7594,RB,Chuba Hubbard,Active,True,26.0,chavo317,Jamar Javarison-Lamar,Ruben,2.0,RFA,2025.0,RB,$33.00,$33.00,$33.00,  ,  ,  
1.2074519527078134e+18,5.953313246890476e+17,9.0,6826,TE,Cole Kmet,Active,True,26.0,RunTheBrews,,Chad,2.0,UFA,2025.0,TE,$3.00,$3.00,$3.00,  ,  ,  
1.2074519527078134e+18,5.483171429683364e+17,7.0,12517,TE,Colston Loveland,Active,True,21.0,MikeNorys,Can't Stand Mike,Mike N,3.0,2025-R2,2025.0,TE,$6.25,$6.25,$6.25,$6.25,  ,TS
1.2074519527078134e+18,5.954641587748782e+17,11.0,4039,WR,Cooper Kupp,Active,True,32.0,Koko3321,Kupp the balls,Mike K,1.0,RFA,2024.0,WR,$24.50,$24.50,  ,  ,  ,  
1.2074519527078134e+18,5.954641587748782e+17,11.0,5045,WR,Courtland Sutton,Active,True,29.0,Koko3321,Kupp the balls,Mike K,2.0,UFA,2023.0,WR,$9.25,$9.25,$9.25,  ,  ,  
1.2074519527078134e+18,5.95421624581288e+17,10.0,4082,WR,Curtis Samuel,Active,True,28.0,MileHighMorty,Bijan* Mustard,Matt,1.0,FM,2023.0,WR,$3.50,$3.50,  ,  ,  ,  
