Owner,Length Remaining,Acquired,Year of Contract,Pos,Player,Per Year $ (In M),2025,2026,2027,2028,,2025,2026,2027,1 or 2 years?
Matt,2,2024-R3,2024,WR,Malachi Corley,$3.50,$3.50,$3.50,,,,$1.75,$1.00,,1
Matt,1,RFA,2024,WR,Stefon Diggs,$21.00,$21.00,,,,,$10.50,,,1
Matt,3,2025-R1,2025,WR,Tetairoa McMillan,$8.25,$8.25,$8.25,$8.25,,,$4.25,$8.25,,1
Matt,2,RFA,2025,WR,Tyreek Hill,$34.00,$34.00,$34.00,,,,$17.00,$8.50,,1
Matt,4,FM,2025,WR,Wan'Dale Robinson,$8.75,$8.75,$8.75,$8.75,$8.75,,$4.50,$19.75,,1
Matt-TS,3,2025-R2,2025,RB,Jayden Blue,$5.25,$5.25,$5.25,$5.25,,,$2.75,$5.25,,1
Matt-TS,3,2025-R4,2025,TE,Oronde Gadsden,$1.50,$1.50,$1.50,$1.50,,,$0.75,$1.50,,1
Mike K,2,UFA,2025,QB,Justin Fields,$28.50,$28.50,$28.50,,,,$14.25,$7.25,,1
Mike K,1,RFA,2024,QB,Tua Tagovailoa,$40.00,$40.00,,,,,$20.00,,,1
Mike K,3,2025-R2,2025,QB,Tyler Shough,$4.00,$4.00,$4.00,$4.00,,,$2.00,$4.00,,1
Mike K,1,FM,2023,RB,Alexander Mattison,$9.25,$9.25,,,,,$4.75,,,1
Mike K,1,RFA,2024,RB,Derrick Henry,$35.00,$35.00,,,,,$17.50,,,1
Mike K,1,RFA,2024,RB,Josh Jacobs,$38.00,$38.00,,,,,$19.00,,,1
Mike K,1,2023-R2,2023,RB,Tank Bigsby,$3.75,$3.75,,,,,$2.00,,,1
Mike K,2,2024-R4,2024,RB,Will Shipley,$2.25,$2.25,$2.25,,,,$1.25,$0.50,,1
Mike K,1,UFA,2024,TE,Hunter Henry,$9.00,$9.00,,,,,$4.50,,,1
Mike K,3,FM,2024,TE,Pat Freiermuth,$11.00,$11.00,$11.00,$11.00,,,$5.50,$11.00,,1
Mike K,1,RFA,2024,WR,Cooper Kupp,$24.50,$24.50,,,,,$12.25,,,1
Mike K,2,UFA,2023,WR,Courtland Sutton,$9.25,$9.25,$9.25,,,,$4.75,$2.25,,1
Mike K,4,FM,2025,WR,Jakobi Meyers,$19.25,$19.25,$19.25,$19.25,$19.25,,$9.75,$43.25,,1
Mike K,1,FT,2025,WR,JaMarr Chase,$43.50,$43.50,,,,,$21.75,,,1
Mike K,1,UFA,2022,WR,Kendrick Bourne ,$3.00,$3.00,,,,,$1.50,,,1
Mike K,3,2025-R1,2025,WR,Matthew Golden,$7.50,$7.50,$7.50,$7.50,,,$3.75,$7.50,,1
Mike K-Cut,2,2024-R4,2024,RB,Frank Gore,$1.25,$1.25,$1.25,,,,$0.00,$0.00,,1
Mike K-TS,3,2025-R2,2025,QB,Jalen Milroe,$4.50,$4.50,$4.50,$4.50,,,$2.25,$4.50,,1
Mike K-TS,3,2025-R4,2025,QB,Quinn Ewers,$1.25,$1.25,$1.25,$1.25,,,$0.75,$1.25,,1
Mike K-TS,3,2025-R3,2025,RB,Ollie Gordon,$3.25,$3.25,$3.25,$3.25,,,$1.75,$3.25,,1
Mike K-TS,3,2025-R2,2025,WR,Kyle Williams,$4.00,$4.00,$4.00,$4.00,,,$2.00,$4.00,,1
Mike N,1,2023-R1,2023,QB,Bryce Young,$8.25,$8.25,$23.75,,,,$4.25,,,1
