Owner,Length_Remaining,Acquired,Year_of_Contract,Pos,full_name,Per_Year_M,2025,2026,2027,2028,Unnamed: 11,2025.1,2026.1,2027.1,1 or 2 years?,player_type
Marcus,3.0,2025-R1,2025.0,RB,Quinshon Judkins,$8.50,$8.50,$8.50,$8.50,  ,,$4.25,$8.50,,1,  
Marcus,3.0,2025-R1,2025.0,RB,RJ Harvey,$7.75,$7.75,$7.75,$7.75,  ,,$4.00,$7.75,,1,  
Marcus,3.0,UFA,2024.0,RB,Samaje Perine,$1.00,$1.00,$1.00,$1.00,  ,,$0.50,$1.00,,1,  
Marcus,1.0,2023-R1,2023.0,TE,Dalton Kincaid,$6.25,$6.25,$9.75,  ,  ,,$3.25,,,1,  
Marcus,2.0,RFA,2025.0,TE,Kyle Pitts,$14.00,$14.00,$14.00,  ,  ,,$7.00,$3.50,,1,  
Marcus,1.0,RFA,2024.0,WR,Brandon Aiyuk,$19.50,$19.50,  ,  ,  ,,$9.75,,,1,  
Marcus,1.0,FT,2025.0,WR,CeeDee Lamb,$43.50,$43.50,  ,  ,  ,,$21.75,,,1,  
Marcus,1.0,2022-R1,2022.0,WR,Drake London,$7.00,$18.00,  ,  ,  ,,$9.00,,,1,  
Marcus,4.0,FM,2025.0,WR,Jahan Dotson,$0.50,$0.50,$0.50,$0.50,$0.50,,$0.25,$1.25,,1,  
Marcus,2.0,2023-R1,2023.0,WR,Jaxon Smith-Njigba,$7.50,$7.50,$18.00,  ,  ,,$3.75,$4.50,,1,  
Marcus,2.0,2024-R4,2024.0,TE,Cade Stover,$1.00,$1.00,$1.00,  ,  ,,$0.50,$0.25,,1,TS
Marcus,3.0,2025-R3,2025.0,TE,Elijah Arroyo,$2.50,$2.50,$2.50,$2.50,  ,,$1.25,$2.50,,1,TS
Marcus,3.0,2025-R3,2025.0,WR,Elic Ayomanor,$2.50,$2.50,$2.50,$2.50,  ,,$1.25,$2.50,,1,TS
