Owner,Length Remaining,Acquired,Year of Contract,Pos,Player,Per Year $ (In M),2025,2026,2027,2028
Ruben,1,RFA,2024,QB,Lamar Jackson,$54.00,$54.00
Ruben,3,UFA,2024,RB,Jaleel McLaughlin,$4.50,$4.50,$4.50,$4.50
Ruben,2,UFA,2023,RB,Jaylen Warren,$2.25,$2.25,$2.25
Ruben-IR,2,2024-R1,2024,RB,Jonathon Brooks,$7.75,$0.00,$7.75
Ruben,3,UFA,2024,RB,Keaton Mitchell,$4.75,$4.75,$4.75,$4.75
Ruben,3,UFA,2024,TE,Cade Otton,$0.75,$0.75,$0.75,$0.75
Ruben-IR,2,2024-R4,2024,TE,Erick All,$1.25,$0.00,$1.25
Ruben,3,UFA,2024,TE,Isaiah Likely,$9.75,$9.75,$9.75,$9.75
Ruben,3,FM,2024,WR,Dontayvion Wicks,$12.50,$12.50,$12.50,$12.50
Ruben,1,RFA/Rstr2024,2024,WR,Justin Jefferson,$41.00,$20.50
Ruben-TS,2,2024-R3,2024,RB,Ray Davis,$3.25,$3.25,$3.25
Ruben,1,2023-R3,2023,WR,Jalin Hyatt,$2.75,$2.75
Ruben-TS,2,2024-R3,2024,WR,Malik Washington,$2.50,$2.50,$2.50
Tommy-IR,1,UFA,2022,QB,Deshaun Watson,$42.00,$0.00
Tommy,2,2024-R1,2024,QB,J.J. McCarthy,$8.50,$8.50,$8.50
Tommy,1,FM,2024,RB,Austin Ekeler,$27.00,$27.00
Tommy,2,UFA,2023,RB,Gus Edwards,$2.50,$2.50,$2.50
Tommy,3,UFA/Rstr2024,2024,RB,J.K. Dobbins,$12.25,$6.00,$6.00,$6.00
Tommy,1,UFA,2022,TE,Dalton Schultz ,$6.50,$6.50
Tommy,2,2024-R2,2024,WR,Adonai Mitchell,$5.50,$5.50,$5.50
Tommy,1,UFA,2022,WR,Amari Cooper,$15.25,$15.25
Tommy-IR,1,2022-R1,2022,WR,Christian Watson,$5.25,$0.00
Nick,1,RFA,2024,WR,Khalil Shakir,$12.25,$12.25
Tommy,2,2024-R2,2024,WR,Ricky Pearsall,$5.25,$5.25,$5.25
Tommy,2,2024-R2,2024,WR,Xavier Legette,$4.25,$4.25,$4.25
Tommy,1,2023-R2,2023,WR,Zay Flowers,$5.50,$5.50
Tommy-Cut,1,FM,2022,WR,Donovan Peoples-Jones,$4.50,$4.50
Tommy-TS,2,2024-R3,2024,QB,Spencer Rattler,$2.75,$2.75,$2.75
Tommy-TS,2,2024-R3,2024,RB,Audric Estime,$3.75,$3.75,$3.75
Nick,2,2024-R4,2024,WR,Roman Wilson,$4.00,$4.00,$4.00
Tyler,1,UFA,2024,QB,Aidan OConnell,$11.50,$11.50
Tyler,2,2024-R1,2024,QB,Bo Nix,$8.25,$8.25,$8.25
Tyler-Cut,2,UFA,2024,QB,Derek Carr,$31.25,$31.25,$31.25
Tyler,2,2024-R2,2024,RB,Jaylen Wright,$4.75,$4.75,$4.75
