status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_421,drops_2197,adds_8408,drops_9753,adds_4223,drops_7889,adds_9488,drops_10232,adds_6119,drops_8314,adds_8162,drops_6056,drops,adds_4082,drops_7816,metadata,settings,adds_6065,drops_4111,adds_7113,adds_7594,adds_6947,drops_4381,adds_3973,drops_421,adds_10235,drops_10229,adds,drops_7045,adds_5056,drops_6220,adds_3172,drops_7672,adds_6888,drops_5372,drops_7715,drops_957,adds_5001,adds_4180,adds_5284,drops_7113,adds_4111,drops_9758,adds_7066,drops_6118,adds_11199,drops_4098
complete,free_agent,1697348316992,6,[],561747196680642560,1019156345141936128,[5],[5],1697348316992,[],,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1697340563057,6,[],830975786608619520,1019123822781349888,[8],[8],1697340563057,[],,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1697142710689,6,[],740751073198948352,1018293969802838016,[12],[12],1697142710689,[],,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1697138910233,6,[],740751073198948352,1018278029535035392,[12],[12],1697138910233,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1697118543679,6,[],595464158774878208,1018192606016131072,[7],[7],1697118543679,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1697084751227,6,[],861798755085692928,1018050870199537664,[9],[9],1697084751227,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,
complete,free_agent,1697084428872,6,[],451807541647634432,1018049518144671744,[1],[1],1697084428872,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
complete,free_agent,1697084347213,6,[],451807541647634432,1018049175642001408,[1],[1],1697084347213,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
complete,free_agent,1697084335533,6,[],451807541647634432,1018049126652530688,[1],[1],1697084335533,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
complete,free_agent,1697084321317,6,[],451807541647634432,1018049067022110720,[1],[1],1697084321317,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
complete,free_agent,1697084317268,6,[],451807541647634432,1018049050043568128,[1],[1],1697084317268,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
complete,free_agent,1697059971086,6,[],862881247247052800,1017946934755020800,[4],[4],1697059971086,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,
complete,free_agent,1697059892237,6,[],862881247247052800,1017946604038344704,[4],[4],1697059892237,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,
complete,free_agent,1697046544066,6,[],561747196680642560,1017890617751330816,[5],[5],1697046544066,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
complete,free_agent,1697044268582,6,[],740751073198948352,1017881073679687680,[12],[12],1697044268582,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,
complete,free_agent,1697043804613,6,[],862499213718704128,1017879127652651008,[11],[11],1697043804613,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,
complete,free_agent,1697029797603,6,[],741144911407095808,1017820377994579968,[6],[6],1697029797603,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,
complete,free_agent,1697029690014,6,[],741144911407095808,1017819926733606912,[6],[6],1697029690014,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0
