draft_id,draft_slot,is_keeper,pick_no,picked_by,player_id,reactions,roster_id,round,metadata.amount,metadata.first_name,metadata.injury_status,metadata.last_name,metadata.news_updated,metadata.number,metadata.player_id,metadata.position,metadata.slot,metadata.sport,metadata.status,metadata.team,metadata.years_exp
993378040933564417,11,,59,561715408029736960,1479,,10,5,19,Keenan,,Allen,1692966059851,13,1479,WR,11,nfl,Active,LAC,10
993378040933564417,4,,60,740751073198948352,8167,,12,5,11,Christian,,Watson,1693074912392,9,8167,WR,4,nfl,Active,GB,1
993378040933564417,9,,61,862559746694205440,5816,,3,6,4,Nick,DNR,Bosa,1693075512578,97,5816,DL,9,nfl,Active,SF,4
993378040933564417,2,,62,451807541647634432,2505,,1,6,9,Darren,,Waller,1692417357683,12,2505,TE,2,nfl,Active,NYG,8
993378040933564417,9,,63,862559746694205440,6768,,3,6,6,Tua,,Tagovailoa,1693104915699,1,6768,QB,9,nfl,Active,MIA,3
993378040933564417,4,,64,740751073198948352,6783,,12,6,9,Jerry,Questionable,Jeudy,1693348810069,10,6783,WR,4,nfl,Active,DEN,3
993378040933564417,5,,65,861798755085692928,4960,,9,6,8,Roquan,,Smith,1674059730739,0,4960,LB,5,nfl,Active,BAL,5
993378040933564417,2,,66,451807541647634432,1426,,1,6,17,DeAndre,,Hopkins,1691880349672,10,1426,WR,2,nfl,Active,TEN,10
993378040933564417,5,,67,861798755085692928,3294,,9,6,7,Dak,,Prescott,1691329507133,4,3294,QB,5,nfl,Active,DAL,7
993378040933564417,7,,68,561747196680642560,4199,,5,6,20,Aaron,,Jones,1693068911710,33,4199,RB,7,nfl,Active,GB,6
993378040933564417,10,,69,741144911407095808,5987,,6,6,18,Alexander,Questionable,Mattison,1693238149219,2,5987,RB,10,nfl,Active,MIN,4
993378040933564417,4,,70,740751073198948352,8137,,12,6,8,George,,Pickens,1692923155377,14,8137,WR,4,nfl,Active,PIT,1
993378040933564417,2,,71,451807541647634432,2374,,1,6,11,Tyler,,Lockett,1692513913155,16,2374,WR,2,nfl,Active,SEA,8
993378040933564417,12,,72,830975786608619520,7588,,8,6,21,Javonte,,Williams,1692909040880,33,7588,RB,12,nfl,Active,DEN,2
993378040933564417,4,,73,740751073198948352,6938,,12,7,12,Cam,,Akers,1692217224561,3,6938,RB,4,nfl,Active,LAR,3
993378040933564417,2,,74,451807541647634432,4037,,1,7,11,Chris,,Godwin,1693104015393,14,4037,WR,2,nfl,Active,TB,6
993378040933564417,9,,75,862559746694205440,9488,,3,7,3,Jaxon,Questionable,Smith-Njigba,1693353603623,11,9488,WR,9,nfl,Active,SEA,0
993378040933564417,7,,76,561747196680642560,2309,,5,7,13,Amari,,Cooper,1693086613517,2,2309,WR,7,nfl,Active,CLE,8
993378040933564417,6,,77,595464158774878208,4137,,7,7,16,James,,Conner,1692918954360,6,4137,RB,6,nfl,Active,ARI,6
993378040933564417,9,,78,862559746694205440,6819,,3,7,6,Michael,,Pittman,1692935756311,11,6819,WR,9,nfl,Active,IND,3
993378040933564417,1,,79,862499213718704128,6151,,11,7,15,Miles,Questionable,Sanders,1692729040571,6,6151,RB,1,nfl,Active,CAR,4
993378040933564417,9,,80,862559746694205440,5332,,3,7,4,Foyesade,,Oluokun,1677340529023,23,5332,LB,9,nfl,Active,JAX,5
993378040933564417,9,,81,862559746694205440,8205,,3,7,8,Isiah,,Pacheco,1693086013927,10,8205,RB,9,nfl,Active,KC,1
993378040933564417,1,,82,862499213718704128,9997,,11,7,3,Zay,,Flowers,1692679813221,4,9997,WR,1,nfl,Active,BAL,0
993378040933564417,1,,83,862499213718704128,4035,,11,7,10,Alvin,Sus,Kamara,1691962558931,41,4035,RB,1,nfl,Active,NO,6
993378040933564417,4,,84,740751073198948352,8138,,12,7,12,James,,Cook,1693078512921,4,8138,RB,4,nfl,Active,BUF,1
993378040933564417,9,,85,862559746694205440,4066,,3,8,2,Evan,,Engram,1689527454345,17,4066,TE,9,nfl,Active,JAX,6
993378040933564417,11,,86,561715408029736960,8136,,10,8,12,Rachaad,,White,1693102216142,1,8136,RB,11,nfl,Active,TB,1
993378040933564417,5,,87,861798755085692928,4950,,9,8,11,Christian,,Kirk,1693106716662,13,4950,WR,5,nfl,Active,JAX,5
993378040933564417,9,,88,862559746694205440,4070,,3,8,2,T.J.,,Watt,1673470826649,90,4070,LB,9,nfl,Active,PIT,6
993378040933564417,5,,89,861798755085692928,4033,,9,8,5,David,,Njoku,1693092314269,85,4033,TE,5,nfl,Active,CLE,6
993378040933564417,5,,90,861798755085692928,9756,,9,8,5,Jordan,,Addison,1692819342690,3,9756,WR,5,nfl,Active,MIN,0
993378040933564417,1,,91,862499213718704128,4971,,11,8,2,Derwin,,James,1673569835928,3,4971,DB,1,nfl,Active,LAC,5
993378040933564417,6,,92,595464158774878208,6803,,7,8,14,Brandon,,Aiyuk,1693079413677,11,6803,WR,6,nfl,Active,SF,3
993378040933564417,1,,93,862499213718704128,5991,,11,8,3,Maxx,,Crosby,1691348108808,98,5991,DL,1,nfl,Active,LV,4
993378040933564417,12,,94,830975786608619520,3163,,8,8,1,Jared,,Goff,1692975959609,16,3163,QB,12,nfl,Active,DET,7
993378040933564417,5,,95,861798755085692928,2216,,9,8,9,Mike,Questionable,Evans,1693150821734,13,2216,WR,5,nfl,Active,TB,9
993378040933564417,2,,96,451807541647634432,5870,,1,8,3,Daniel,,Jones,1692415857043,8,5870,QB,2,nfl,Active,NYG,4
993378040933564417,10,,97,741144911407095808,5346,,6,9,3,Zaire,,Franklin,1674172845810,44,5346,LB,10,nfl,Active,IND,5
993378040933564417,4,,98,740751073198948352,4081,,12,9,1,Budda,,Baker,1690498526415,3,4081,DB,4,nfl,Active,ARI,6
993378040933564417,2,,99,451807541647634432,3973,,1,9,3,Myles,Questionable,Garrett,1692660909966,95,3973,DL,2,nfl,Active,CLE,6
993378040933564417,11,,100,561715408029736960,4029,,10,9,7,Dalvin,Questionable,Cook,1693337104664,33,4029,RB,11,nfl,Active,NYJ,6
993378040933564417,2,,101,451807541647634432,7648,,1,9,2,Nick,,Bolton,1673975721004,32,7648,LB,2,nfl,Active,KC,2
993378040933564417,2,,102,451807541647634432,96,,1,9,2,Aaron,,Rodgers,1693105815642,8,96,QB,2,nfl,Active,NYJ,18
993378040933564417,9,,103,862559746694205440,7600,,3,9,3,Pat,,Freiermuth,1692923755899,88,7600,TE,9,nfl,Active,PIT,2
993378040933564417,10,,104,741144911407095808,5041,,6,9,1,Fred,,Warner,1675792260810,54,5041,LB,10,nfl,Active,SF,5
993378040933564417,2,,105,451807541647634432,5892,,1,9,4,David,,Montgomery,1691164226482,5,5892,RB,2,nfl,Active,DET,4
993378040933564417,12,,106,830975786608619520,8289,,8,9,1,Aidan,,Hutchinson,1674435010393,97,8289,DL,12,nfl,Active,DET,1
993378040933564417,1,,107,862499213718704128,9228,,11,9,1,Bryce,,Young,1693012803911,9,9228,QB,1,nfl,Active,CAR,0
993378040933564417,2,,108,451807541647634432,8119,,1,9,6,Jahan,,Dotson,1692681312812,1,8119,WR,2,nfl,Active,WAS,1
993378040933564417,1,,109,862499213718704128,5960,,11,10,2,T.J.,,Edwards,1692130217510,53,5960,LB,1,nfl,Active,CHI,4
993378040933564417,4,,110,740751073198948352,8267,,12,10,3,Nakobe,,Dean,1691700922101,17,8267,LB,4,nfl,Active,PHI,1
993378040933564417,9,,111,862559746694205440,8314,,3,10,2,Jalen,,Pitre,1686668704642,5,8314,DB,9,nfl,Active,HOU,1
993378040933564417,9,,112,862559746694205440,5848,,3,10,8,Marquise,,Brown,1693065611460,2,5848,WR,9,nfl,Active,ARI,4
993378040933564417,7,,113,561747196680642560,5944,,5,10,1,Bobby,,Okereke,1692421558339,58,5944,LB,7,nfl,Active,NYG,4
993378040933564417,5,,114,861798755085692928,2227,,9,10,4,Aaron,,Donald,1692548116744,99,2227,DL,5,nfl,Active,LAR,9
993378040933564417,9,,115,862559746694205440,1875,,3,10,13,C.J.,,Mosley,1673460625630,57,1875,LB,9,nfl,Active,NYJ,9
993378040933564417,5,,116,861798755085692928,9754,,9,10,3,Quentin,,Johnston,1693028105850,1,9754,WR,5,nfl,Active,LAC,0
993378040933564417,2,,117,451807541647634432,6945,,1,10,3,Antonio,,Gibson,1692683113020,24,6945,RB,2,nfl,Active,WAS,3
993378040933564417,12,,118,830975786608619520,4968,,8,10,1,Tremaine,,Edmunds,1693070711871,49,4968,LB,12,nfl,Active,CHI,5
993378040933564417,1,,119,862499213718704128,6826,,11,10,1,Cole,,Kmet,1693078212908,85,6826,TE,1,nfl,Active,CHI,3
993378040933564417,2,,120,451807541647634432,4990,,1,10,3,Shaquille,Questionable,Leonard,1693077912900,53,4990,LB,2,nfl,Active,IND,5
993378040933564417,12,,121,830975786608619520,6119,,8,11,2,Devin,,White,1691303432700,45,6119,LB,12,nfl,Active,TB,4
993378040933564417,4,,122,740751073198948352,8355,,12,11,1,Kayvon,,Thibodeaux,1692420057946,5,8355,DL,4,nfl,Active,NYG,1
993378040933564417,12,,123,830975786608619520,8290,,8,11,3,Sauce,,Gardner,1693092614933,1,8290,DB,12,nfl,Active,NYJ,1
993378040933564417,12,,124,830975786608619520,7608,,8,11,4,Khalil,,Herbert,1693077912898,24,7608,RB,12,nfl,Active,CHI,2
993378040933564417,2,,125,451807541647634432,4963,,1,11,2,Minkah,,Fitzpatrick,1673468426400,39,4963,DB,2,nfl,Active,PIT,5
993378040933564417,8,,126,578293895956312064,5862,,2,11,1,Brian,,Burns,1690399821036,0,5862,DL,8,nfl,Active,CAR,4
993378040933564417,10,,127,741144911407095808,8135,,6,11,1,Treylon,Questionable,Burks,1693249850274,16,8135,WR,10,nfl,Active,TEN,1
993378040933564417,3,,128,862881247247052800,9226,,4,11,2,De'Von,Questionable,Achane,1693335605806,28,9226,RB,3,nfl,Active,MIA,0
993378040933564417,7,,129,561747196680642560,5937,,5,11,4,Diontae,,Johnson,1692923155373,18,5937,WR,7,nfl,Active,PIT,4
993378040933564417,1,,130,862499213718704128,6828,,11,11,5,AJ,,Dillon,1693101616368,28,6828,RB,1,nfl,Active,GB,3
993378040933564417,3,,131,862881247247052800,4147,,4,11,1,Samaje,,Perine,1692516612532,25,4147,RB,3,nfl,Active,DEN,6
993378040933564417,6,,132,595464158774878208,4063,,7,11,2,Haason,Questionable,Reddick,1693263327563,7,4063,LB,6,nfl,Active,PHI,6
993378040933564417,5,,133,861798755085692928,7811,,9,12,1,Talanoa,Questionable,Hufanga,1693086614411,29,7811,DB,5,nfl,Active,SF,2
993378040933564417,12,,134,830975786608619520,6943,,8,12,3,Gabe,,Davis,1693075812529,13,6943,WR,12,nfl,Active,BUF,3
993378040933564417,5,,135,861798755085692928,4068,,9,12,11,Mike,,Williams,1691907353426,81,4068,WR,5,nfl,Active,LAC,6
993378040933564417,1,,136,862499213718704128,7117,,11,12,2,L'Jarius,Questionable,Sneed,1692806141296,38,7117,DB,1,nfl,Active,KC,3
993378040933564417,6,,137,595464158774878208,3156,,7,12,2,Joey,,Bosa,1691514951917,97,3156,LB,6,nfl,Active,LAC,7
993378040933564417,5,,138,861798755085692928,9753,,9,12,6,Zach,,Charbonnet,1693080613558,26,9753,RB,5,nfl,Active,SEA,0
993378040933564417,7,,139,561747196680642560,8154,,5,12,4,Brian,,Robinson,1692681912964,8,8154,RB,7,nfl,Active,WAS,1
993378040933564417,5,,140,861798755085692928,2197,,9,12,8,Brandin,,Cooks,1692557407587,3,2197,WR,5,nfl,Active,DAL,9
993378040933564417,3,,141,862881247247052800,8148,,4,12,1,Jameson,Sus,Williams,1692279628897,9,8148,WR,3,nfl,Active,DET,1
993378040933564417,4,,142,740751073198948352,7113,,12,12,1,Alex,,Highsmith,1689780001927,56,7113,LB,4,nfl,Active,PIT,3
