status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_8160,drops_4574,adds_1373,adds_5209,drops_4131,adds_7117,drops_8314,adds_5334,drops_5041,adds_5010,drops_3202,drops,adds_3423,adds_1476,drops_6951,adds_7601,drops_4080,drops_24,drops_7527,metadata,settings,adds_2750,adds_2592,adds_2251,drops_3214,adds_4171,adds_4177,drops_3423,adds_6120,drops_8167,adds_5056,drops_4110,adds,drops_8408,adds_4381,drops_5536,adds_4118,drops_6065,adds_4978,drops_7637,adds_5137,drops_7567,drops_4191,adds_2227,drops_7677,drops_1825,adds_7662,drops_5017,adds_4602,drops_2251,adds_5346,drops_3363,adds_1213,drops_6711,drops_3303,drops_8139
complete,waiver,1664845245575,4,[],558483388996636672,882828582685470720,[3],[3],1664953641290,[],Your waiver claim was processed successfully!,1.0,14.0,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1664810270041,4,[],578293895956312064,882681884663091200,[14],[14],1664953641290,[],Your waiver claim was processed successfully!,5.0,3.0,,,14.0,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1664657224437,4,[],548317142968336384,882039964874092544,[8],[8],1664657224437,[],,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1664642587942,4,[],862881247247052800,881978574964559872,[16],[16],1664642587942,[],,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1664596481315,4,[],578293895956312064,881785189754441728,[14],[14],1664596481315,[],,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1664555588583,4,[],548317142968336384,881613673205047296,[8],[8],1664555588583,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1664549895424,4,[],741144911407095808,881589794365636608,[6],[6],1664549895424,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1664496854104,4,[],558483388996636672,881367322944901120,[3],[3],1664496854104,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1664495517900,4,[],561747196680642560,881361718499368960,[5],[5],1664495517900,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1664466542989,4,[],548317142968336384,881240188914057216,[8],[8],1664466542989,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1664450005613,4,[],862499213718704128,881170826131628032,[11],[11],1664450005613,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1664449493049,4,[],862499213718704128,881168676282568704,[11],[11],1664449493049,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1664449415866,4,[],862499213718704128,881168352553553920,[11],[11],1664449415866,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,
complete,free_agent,1664436564173,4,[],862881247247052800,881114448646053888,[16],[16],1664436564173,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,,,,,,,,,,,,,,
complete,free_agent,1664436427387,4,[],862881247247052800,881113874924032000,[16],[16],1664436427387,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,
complete,waiver,1664428581342,4,[],453691856656527360,881080966226149376,[15],[15],1664518617101,[],Your waiver claim was processed successfully!,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,
complete,free_agent,1664428537909,4,[],453691856656527360,881080784054906880,[15],[15],1664428537909,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,
complete,free_agent,1664424328401,4,[],861798755085692928,881063128098799616,[9],[9],1664424328401,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,
complete,free_agent,1664397813546,4,[],451807541647634432,880951916736270336,[1],[1],1664397813546,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
complete,free_agent,1664397747433,4,[],451807541647634432,880951639438462976,[1],[1],1664397747433,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
complete,free_agent,1664397671073,4,[],451807541647634432,880951319161352192,[1],[1],1664397671073,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
failed,waiver,1664397639591,4,[],451807541647634432,880951187116220416,[1],[1],1664518617101,[],This player was claimed by another owner.,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,
complete,free_agent,1664397551772,4,[],451807541647634432,880950818776506368,[1],[1],1664397551772,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
