status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_2505,drops_5133,adds_8119,drops_5880,adds_2330,drops_5655,adds_7635,drops_3558,drops_7569,adds_6845,drops_8116,settings_priority,adds_3172,drops_4976,drops_6807,adds_2427,adds_7113,adds_3399,drops_4081,drops_4973,drops,metadata,settings,adds_2064,adds_8323,adds_5580,drops_2353,adds,drops_3233,adds_7596,adds_2617,drops_7651,adds_8112,drops_4177,adds_96,drops_5089,drops_2227,adds_5032,drops_5348,adds_8116,drops_7635,drops_5154
complete,waiver,1671577198533,15,[],578293895956312064,911064439905017856,[14],[14],1671610042531,[],Your waiver claim was processed successfully!,8.0,1.0,,,,,,,,,,,,4.0,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1671571080714,15,[],561747196680642560,911038779912314880,[5],[5],1671610042531,[],Your waiver claim was processed successfully!,1.0,17.0,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1671418642724,15,[],558483388996636672,910399408641622016,[3],[3],1671610042531,[],This player was claimed by another owner.,2.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1671382046102,15,[],595464158774878208,910245911283027968,[7],[7],1671382046102,[],,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1671295326369,15,[],595464158774878208,909882182359928832,[7],[7],1671295326369,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
complete,free_agent,1671249083183,15,[],453691856656527360,909688224379916288,[15],[15],1671249083183,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,
complete,free_agent,1671145702947,15,[],595464158774878208,909254616242540544,[7],[7],1671145702947,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,
complete,free_agent,1671080653169,15,[],558483388996636672,908981777698275328,[3],[3],1671080653169,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
complete,free_agent,1671063730001,15,[],561715408029736960,908910796787040256,[10],[10],1671063730001,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,
complete,waiver,1671054266947,15,[],453691856656527360,908871105861988352,[15],[15],1671174999143,[],Your waiver claim was processed successfully!,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,
complete,free_agent,1671053961170,15,[],453691856656527360,908869823340101632,[15],[15],1671053961170,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,
complete,free_agent,1671053940244,15,[],453691856656527360,908869735570096128,[15],[15],1671053940244,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,
complete,free_agent,1671033035257,15,[],451807541647634432,908782053699502080,[1],[1],1671033035257,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
complete,free_agent,1671032477903,15,[],862499213718704128,908779715987394560,[11],[11],1671032477903,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,
complete,free_agent,1671032391534,15,[],862499213718704128,908779353729548288,[11],[11],1671032391534,[],,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
