status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_5520,drops_4224,adds_7637,drops_7113,adds_6065,drops_5348,adds_5970,drops_7066,drops,adds_4234,adds_3200,adds_4973,drops_7523,adds_1837,drops_1352,drops_4892,adds_7811,drops_3233,metadata,settings,adds_6056,drops_367,adds_2410,drops_7606,adds_6911,drops_6711,adds_1905,adds_5960,drops_4032,adds_4191,adds,drops_830,adds_7569,adds_6826,drops_8168,adds_6711,drops_6911,adds_5882,adds_2251,drops_6826,drops_1905,adds_4036,drops_8339,adds_4091,drops_4056,adds_3172,drops_4063,adds_4063,drops_8139,adds_7113,drops_2330,adds_4381,drops_4973
complete,free_agent,1663529281358,2,[],861702367484178432,877309028706332672,[2],[2],1663529281358,[],,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1663520222247,2,[],451807541647634432,877271032040603648,[1],[1],1663520222247,[],,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1663518566045,2,[],451807541647634432,877264085426069504,[1],[1],1663518566045,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1663504009745,2,[],830975786608619520,877203031878467584,[12],[12],1663504009745,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1663474017602,2,[],558483388996636672,877077235713064960,[3],[3],1663474017602,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1663473916413,2,[],862881247247052800,877076811295744000,[16],[16],1663473916413,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1663429680132,2,[],548317142968336384,876891270885384192,[8],[8],1663429680132,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1663363283871,2,[],453691856656527360,876612784782286848,[15],[15],1663363283871,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663298718343,2,[],594730254984077312,876341977329844224,[4],[4],1663429588756,[],Your waiver claim was processed successfully!,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,
complete,waiver,1663279905339,2,[],451807541647634432,876263069872287744,[1],[1],1663308398618,[],Your waiver claim was processed successfully!,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
complete,free_agent,1663260671476,2,[],558483388996636672,876182397203406848,[3],[3],1663260671476,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
complete,free_agent,1663259902387,2,[],451807541647634432,876179171406229504,[1],[1],1663259902387,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
complete,free_agent,1663182001457,2,[],862881247247052800,875852431228186624,[16],[16],1663182001457,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,
complete,free_agent,1663181770056,2,[],861798755085692928,875851460662087680,[9],[9],1663181770056,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,
complete,free_agent,1663169341026,2,[],578293895956312064,875799329531748352,[14],[14],1663169341026,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,
complete,waiver,1663164884856,2,[],453691856656527360,875780639000014848,[15],[15],1663308398618,[],Your waiver claim was processed successfully!,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,
complete,free_agent,1663164872882,2,[],453691856656527360,875780588777443328,[15],[15],1663164872882,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,
complete,free_agent,1663164690709,2,[],453691856656527360,875779824688508928,[15],[15],1663164690709,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,
complete,free_agent,1663159871516,2,[],862499213718704128,875759611528089600,[11],[11],1663159871516,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,
complete,free_agent,1663150785220,2,[],741144911407095808,875721500840398848,[6],[6],1663150785220,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0
